名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,人均价格,lon,lat,x,y
雪野鱼头大王邢府公老店,山东,济南,莱芜,0531,76594108,雪野旅游区,242省道雪野旅游区邢家峪村,美食,鲁菜,75,117.570488,36.406578,13087886.8564766,4356711.06276972
雅仕聚酒馆,山东,济南,济南,0531,86558396,解放路,山大南路71号胡同内（科技市场往北十字路口向西500米路北胡同里第一家）,美食,鲁菜,129,117.0541,36.672302,13030402.8072649,4393527.8134991
雅园鲁菜馆,山东,济南,济南,0531,187****9226,商贸学校,工业南路东盛花园-中区西北侧约30米,美食,鲁菜,67,117.156372,36.698959,13041787.6742273,4397228.21175402
闫府私房菜·百年鲁菜,山东,济南,济南,0531,67967666;185****9952,恒隆广场,泉城路188号恒隆广场东翼4层416A,美食,鲁菜,78,117.024147,36.664261,13027068.4545571,4392411.85173966
颜家菜,山东,济南,济南,0531,88683888,大明湖,县西巷泉乐坊306室（维景大酒店对面）,美食,鲁菜,133,117.028137,36.668018,13027512.6193254,4392933.24853524
燕喜堂,山东,济南,济南,0531,19805316960;189****2719,大明湖,泉城路金菊巷5号,美食,鲁菜,84,117.023933,36.666599,13027044.6321861,4392736.31659729
阳光家常菜,山东,济南,济南,0531,86099166;186****5972,芙蓉街,院前街山东省人大南门斜对面,美食,鲁菜,74,117.025581,36.665966,13027228.0867069,4392648.46863756
阳光家常菜,山东,济南,平阴县,0531,157****2001,平阴商城,南门路与翠屏街交叉口北68米路东,美食,鲁菜,82,116.44854,36.283993,12962992.1764201,4339769.06284538
杨家厨房,山东,济南,济南,0531,0531-88929567,窑头路,姚家街道窑头路中润世纪城2-40号(友谊苑小区对面),美食,鲁菜,97,117.082596,36.654346,13033574.9674745,4391035.96934955
肴源酒家,山东,济南,济南,0531,0531-88520387,解放路,甸新北路153号,美食,鲁菜,117,117.06649,36.664524,13031782.0557558,4392448.35007467
一块豆腐,山东,济南,济南,0531,68693118,济大/国际会展中心,英雄山路75号,美食,鲁菜,103,116.998383,36.62952,13024200.4191963,4387591.69778491
怡心花园,山东,济南,章丘,0531,0531-83296699,章丘区,赭山大街耐材厂园内（职工食堂）,美食,鲁菜,76,117.514137,36.743515,13081613.8918509,4403416.13050318
异乡缘家常菜,山东,济南,长清区,0531,158****1591,长清大学城,蔡伦路长清大学城商业街山东数娱广场5号楼,美食,鲁菜,127,116.818176,36.55595,13004139.867719,4377391.3654652
虞山居,山东,济南,济南,0531,88289878,历城区,郭店街道曹家馆村委会1-2楼(虞山花园斜对面),美食,鲁菜,68,117.26062,36.730686,13053392.5085035,4401634.07628543
裕丰菜馆,山东,济南,济南,0531,150****1798,历山东路,山大路与山大南路交叉口向西,美食,鲁菜,79,117.054047,36.672192,13030396.9073319,4393512.54647766
誉泉楼,山东,济南,济南,0531,82609888,体育中心,经十路省体育中心西南门荣福茶馆北邻,美食,鲁菜,131,117.010529,36.646606,13025552.5057315,4389962.02998458
云龙山庄,山东,济南,济南,0531,133****9355,奥体中心,经十路10678号,美食,鲁菜,85,117.108345,36.658535,13036441.333043,4391617.24589876
长青缘·美食汇,山东,济南,济南,0531,80122625,大观园,魏家庄街道经三路13号(鲁能中心东侧),美食,鲁菜,107,116.998466,36.66412,13024209.6587141,4392392.28424259
赵记粥铺,山东,济南,章丘,0531,83218399;135****6497,眼明泉,章丘市明水山泉路西段路北,美食,鲁菜,143,117.532845,36.712566,13083696.4568847,4399117.56558836
真如意,山东,济南,济南,0531,0531-85800618,无影山,无影山北路79号,美食,鲁菜,72,116.975716,36.700485,13021677.1402985,4397440.08265559
真如意大酒店,山东,济南,济南,0531,0531-55707070,槐荫区,匡山街道济齐路99号（匡山汽车大世界北门对面）,美食,鲁菜,80,116.934242,36.693134,13017060.2757374,4396419.50336798
至尊源菜馆,山东,济南,济南,0531,0531-86051789;189****0693,大观园,纬三路19号（近大观园）,美食,鲁菜,94,116.992554,36.664768,13023551.5378845,4392482.21175937
自然居生态酒店,山东,济南,济南,0531,0531-88811117;0531-88811118,交通学院,济齐路116号蔬菜批发市场斜对面,美食,鲁菜,116,116.941483,36.688339,13017866.3401702,4395753.84003562
